"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Josh Allen",BUF,"7","3 out of 5 stars","0"
"2",1,"Justin Herbert",LAC,"8","3 out of 5 stars","+1"
"3",1,"Patrick Mahomes II",KC,"8","2 out of 5 stars","-1"
"4",1,"Lamar Jackson",BAL,"10","2 out of 5 stars","0"
"5",2,"Kyler Murray",ARI,"13","2 out of 5 stars","0"
"6",2,"Jalen Hurts",PHI,"7","4 out of 5 stars","+2"
"7",2,"Joe Burrow",CIN,"10","2 out of 5 stars","-1"
"8",2,"Dak Prescott",DAL,"9","3 out of 5 stars","-1"
"9",2,"Tom Brady",TB,"11","3 out of 5 stars","0"
"10",2,"Russell Wilson",DEN,"9","4 out of 5 stars","0"
"11",3,"Matthew Stafford",LAR,"7","3 out of 5 stars","0"
"12",3,"Aaron Rodgers",GB,"14","2 out of 5 stars","0"
"13",3,"Trey Lance",SF,"9","3 out of 5 stars","+1"
"14",3,"Derek Carr",LV,"6","2 out of 5 stars","-1"
"15",3,"Kirk Cousins",MIN,"7","3 out of 5 stars","0"
"16",4,"Tua Tagovailoa",MIA,"11","2 out of 5 stars","0"
"17",4,"Justin Fields",CHI,"14","4 out of 5 stars","0"
"18",4,"Trevor Lawrence",JAC,"11","5 out of 5 stars","0"
"19",4,"Matt Ryan",IND,"14","3 out of 5 stars","+2"
"20",4,"Ryan Tannehill",TEN,"6","4 out of 5 stars","+3"
"21",4,"Jameis Winston",NO,"14","3 out of 5 stars","+1"
"22",4,"Zach Wilson",NYJ,"10","1 out of 5 stars","+2"
"23",4,"Daniel Jones",NYG,"9","5 out of 5 stars","+5"
"24",4,"Mac Jones",NE,"10","4 out of 5 stars","-4"
"25",4,"Carson Wentz",WAS,"14","4 out of 5 stars","0"
"26",4,"Jared Goff",DET,"6","3 out of 5 stars","+1"
"27",4,"Davis Mills",HOU,"6","4 out of 5 stars","+3"
"28",4,"Baker Mayfield",CAR,"13","3 out of 5 stars","+1"
"29",4,"Deshaun Watson",CLE,"9","4 out of 5 stars","-10"
"30",4,"Marcus Mariota",ATL,"14","3 out of 5 stars","+2"
"31",5,"Mitchell Trubisky",PIT,"9","3 out of 5 stars","+3"
"32",5,"Jimmy Garoppolo",SF,"9","3 out of 5 stars","-1"
"33",5,"Drew Lock",SEA,"11","3 out of 5 stars","+2"
"34",5,"Kenny Pickett",PIT,"9","3 out of 5 stars","-8"
"35",5,"Sam Darnold",CAR,"13","3 out of 5 stars","+2"
"36",5,"Desmond Ridder",ATL,"14","3 out of 5 stars","+3"
"37",6,"Geno Smith",SEA,"11","3 out of 5 stars","+5"
"38",6,"Jacoby Brissett",CLE,"9","4 out of 5 stars","-2"
"39",6,"Teddy Bridgewater",MIA,"11","2 out of 5 stars","-"
"40",6,"Malik Willis",TEN,"6","4 out of 5 stars","-2"
"41",6,"Taysom Hill",NO,"14","3 out of 5 stars","-8"
"42",6,"Matt Corral",CAR,"13","3 out of 5 stars","-1"
"43",6,"Gardner Minshew II",PHI,"7","4 out of 5 stars","-"
"44",6,"Tyler Huntley",BAL,"10","2 out of 5 stars","-1"
"45",6,"Sam Howell",WAS,"14","4 out of 5 stars","-"
"46",6,"Tyrod Taylor",NYG,"9","5 out of 5 stars","-"
"47",6,"Andy Dalton",NO,"14","3 out of 5 stars","-"
"48",6,"Taylor Heinicke",WAS,"14","4 out of 5 stars","-"
"49",6,"Jordan Love",GB,"14","2 out of 5 stars","-9"
"50",7,"Kyle Trask",TB,"11","3 out of 5 stars","-"
"51",7,"Case Keenum",BUF,"7","3 out of 5 stars","-"
"52",7,"Chad Henne",KC,"8","2 out of 5 stars","-"
"53",7,"Colt McCoy",ARI,"13","2 out of 5 stars","-"
"54",7,"Blaine Gabbert",TB,"11","3 out of 5 stars","-"
"55",7,"Brandon Allen",CIN,"10","2 out of 5 stars","-"
"56",7,"Cam Newton",FA,"-","-","-"
"57",7,"Kyle Allen",HOU,"6","4 out of 5 stars","-"
"58",7,"Cooper Rush",DAL,"9","3 out of 5 stars","-"
"59",7,"John Wolford",LAR,"7","3 out of 5 stars","-"
"60",7,"Joe Flacco",NYJ,"10","1 out of 5 stars","-"
"61",7,"Chase Daniel",LAC,"8","3 out of 5 stars","-"
"62",7,"C.J. Beathard",JAC,"11","5 out of 5 stars","-"
"63",7,"Mason Rudolph",PIT,"9","3 out of 5 stars","-"
"64",7,"Trevor Siemian",CHI,"14","4 out of 5 stars","-"
"65",7,"Carson Strong",PHI,"7","4 out of 5 stars","-"
"66",7,"Nick Foles",IND,"14","3 out of 5 stars","-"
"67",7,"Kellen Mond",MIN,"7","3 out of 5 stars","-"
"68",7,"Brett Rypien",DEN,"9","4 out of 5 stars","-"
"69",7,"Brian Hoyer",NE,"10","4 out of 5 stars","-"
"70",7,"Nick Mullens",LV,"6","2 out of 5 stars","-"
"71",7,"Tim Boyle",DET,"6","3 out of 5 stars","-"
"72",7,"Sean Mannion",MIN,"7","3 out of 5 stars","-"
"73",7,"Bailey Zappe",NE,"10","4 out of 5 stars","-"
"74",7,"Mike White",NYJ,"10","1 out of 5 stars","-"
"75",8,"Sam Ehlinger",IND,"14","3 out of 5 stars","-"
"76",8,"Josh Johnson",DEN,"9","4 out of 5 stars","-"
"77",8,"Josh Rosen",CLE,"9","4 out of 5 stars","-"
"78",8,"David Blough",DET,"6","3 out of 5 stars","-"
"79",8,"P.J. Walker",CAR,"13","3 out of 5 stars","-"
"80",8,"Joshua Dobbs",CLE,"9","4 out of 5 stars","-"
"81",8,"Jack Coan",IND,"14","3 out of 5 stars","-"
