"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Travis Kelce",KC,"8","3 out of 5 stars","0"
"2",1,"Mark Andrews",BAL,"10","2 out of 5 stars","0"
"3",1,"Kyle Pitts",ATL,"14","2 out of 5 stars","0"
"4",1,"George Kittle",SF,"9","4 out of 5 stars","0"
"5",2,"Darren Waller",LV,"6","2 out of 5 stars","0"
"6",2,"Dalton Schultz",DAL,"9","3 out of 5 stars","0"
"7",2,"T.J. Hockenson",DET,"6","4 out of 5 stars","0"
"8",2,"Dallas Goedert",PHI,"7","2 out of 5 stars","0"
"9",2,"Zach Ertz",ARI,"13","3 out of 5 stars","0"
"10",3,"Pat Freiermuth",PIT,"9","4 out of 5 stars","+1"
"11",3,"Dawson Knox",BUF,"7","3 out of 5 stars","-1"
"12",3,"Cole Kmet",CHI,"14","5 out of 5 stars","+1"
"13",3,"Mike Gesicki",MIA,"11","3 out of 5 stars","-1"
"14",3,"Hunter Henry",NE,"10","4 out of 5 stars","0"
"15",3,"Noah Fant",SEA,"11","2 out of 5 stars","0"
"16",3,"Irv Smith Jr.",MIN,"7","3 out of 5 stars","0"
"17",3,"Robert Tonyan",GB,"14","1 out of 5 stars","+2"
"18",3,"Gerald Everett",LAC,"8","4 out of 5 stars","+2"
"19",3,"Tyler Higbee",LAR,"7","3 out of 5 stars","+3"
"20",4,"Evan Engram",JAC,"11","4 out of 5 stars","-2"
"21",4,"Albert Okwuegbunam",DEN,"9","3 out of 5 stars","0"
"22",4,"Austin Hooper",TEN,"6","5 out of 5 stars","+4"
"23",4,"David Njoku",CLE,"9","4 out of 5 stars","-6"
"24",4,"Logan Thomas",WAS,"14","4 out of 5 stars","-1"
"25",4,"Hayden Hurst",CIN,"10","2 out of 5 stars","-1"
"26",4,"Jonnu Smith",NE,"10","4 out of 5 stars","+12"
"27",4,"Brevin Jordan",HOU,"6","3 out of 5 stars","+4"
"28",4,"Adam Trautman",NO,"14","4 out of 5 stars","+4"
"29",4,"Dan Arnold",JAC,"11","4 out of 5 stars","+14"
"30",4,"C.J. Uzomah",NYJ,"10","3 out of 5 stars","-3"
"31",5,"O.J. Howard",BUF,"7","3 out of 5 stars","+6"
"32",5,"Mo Alie-Cox",IND,"14","2 out of 5 stars","-3"
"33",5,"Trey McBride",ARI,"13","3 out of 5 stars","+1"
"34",5,"Cameron Brate",TB,"11","3 out of 5 stars","-9"
"35",5,"Jared Cook",FA,"-","-","+9"
"36",5,"Anthony Firkser",ATL,"14","2 out of 5 stars","-"
"37",6,"Kyle Rudolph",TB,"11","3 out of 5 stars","-9"
"38",6,"Tyler Conklin",NYJ,"10","3 out of 5 stars","+3"
"39",6,"Greg Dulcich",DEN,"9","3 out of 5 stars","-6"
"40",6,"Ricky Seals-Jones",NYG,"9","4 out of 5 stars","-4"
"41",6,"Harrison Bryant",CLE,"9","4 out of 5 stars","-"
"42",6,"Tommy Tremble",CAR,"13","3 out of 5 stars","+3"
"43",6,"Donald Parham Jr.",LAC,"8","4 out of 5 stars","-"
"44",6,"Jelani Woods",IND,"14","2 out of 5 stars","-5"
"45",6,"Daniel Bellinger",NYG,"9","4 out of 5 stars","+1"
"46",6,"Foster Moreau",LV,"6","2 out of 5 stars","-4"
"47",6,"Cade Otton",TB,"11","3 out of 5 stars","-12"
"48",6,"Kylen Granson",IND,"14","2 out of 5 stars","-"
"49",6,"John Bates",WAS,"14","4 out of 5 stars","-"
"50",6,"Josiah Deguara",GB,"14","1 out of 5 stars","-10"
"51",6,"Jeremy Ruckert",NYJ,"10","3 out of 5 stars","-"
"52",6,"Isaiah Likely",BAL,"10","2 out of 5 stars","-"
"53",7,"Eric Ebron",FA,"-","-","-"
"54",7,"Juwan Johnson",NO,"14","4 out of 5 stars","-7"
"55",7,"Jacob Harris",LAR,"7","3 out of 5 stars","-"
"56",7,"Ian Thomas",CAR,"13","3 out of 5 stars","-"
"57",7,"Pharaoh Brown",HOU,"6","3 out of 5 stars","-"
"58",7,"James O'Shaughnessy",CHI,"14","5 out of 5 stars","-"
"59",7,"Tre' McKitty",LAC,"8","4 out of 5 stars","-"
"60",7,"Blake Jarwin",FA,"-","-","-"
"61",7,"Will Dissly",SEA,"11","2 out of 5 stars","-"
"62",7,"Jake Ferguson",DAL,"9","3 out of 5 stars","-"
"63",7,"Ryan Griffin",CHI,"14","5 out of 5 stars","-"
"64",7,"Jimmy Graham",FA,"-","-","-"
"65",7,"Charlie Kolar",BAL,"10","2 out of 5 stars","-"
"66",7,"Noah Gray",KC,"8","3 out of 5 stars","-"
"67",7,"Geoff Swaim",TEN,"6","5 out of 5 stars","-"
"68",7,"Jordan Akins",NYG,"9","4 out of 5 stars","-"
"69",7,"Chris Herndon IV",NO,"14","4 out of 5 stars","-"
"70",7,"Chigoziem Okonkwo",TEN,"6","5 out of 5 stars","-"
"71",7,"Hunter Long",MIA,"11","3 out of 5 stars","-"
"72",7,"Jalen Wydermyer",BUF,"7","3 out of 5 stars","-"
"73",7,"Maxx Williams",ARI,"13","3 out of 5 stars","-"
"74",7,"Drew Sample",CIN,"10","2 out of 5 stars","-"
"75",7,"Brock Wright",DET,"6","4 out of 5 stars","-"
"76",7,"Tyler Kroft",SF,"9","4 out of 5 stars","-"
"77",8,"Durham Smythe",MIA,"11","3 out of 5 stars","-"
"78",8,"Marcedes Lewis",GB,"14","1 out of 5 stars","-"
"79",8,"Zach Gentry",PIT,"9","4 out of 5 stars","-"
"80",8,"Blake Bell",KC,"8","3 out of 5 stars","-"
"81",8,"Kendall Blanton",LAR,"7","3 out of 5 stars","-"
"82",8,"Nick Vannett",NO,"14","4 out of 5 stars","-"
"83",8,"Nick Boyle",BAL,"10","2 out of 5 stars","-"
"84",8,"Ross Dwelley",SF,"9","4 out of 5 stars","-"
"85",8,"Adam Shaheen",MIA,"11","3 out of 5 stars","-"
"86",8,"Brycen Hopkins",LAR,"7","3 out of 5 stars","-"
"87",8,"Grant Calcaterra",PHI,"7","2 out of 5 stars","-"
"88",8,"Cole Turner",WAS,"14","4 out of 5 stars","-"
"89",8,"Jacob Hollister",LV,"6","2 out of 5 stars","-"
"90",8,"Johnny Mundt",MIN,"7","3 out of 5 stars","-"
"91",8,"James Mitchell",DET,"6","4 out of 5 stars","-"
"92",8,"Ben Ellefson",MIN,"7","3 out of 5 stars","-"
"93",9,"Chris Manhertz",JAC,"11","4 out of 5 stars","-"
"94",9,"Antony Auclair",HOU,"6","3 out of 5 stars","-"
"95",9,"Tyler Davis",GB,"14","1 out of 5 stars","-"
"96",9,"Shane Zylstra",DET,"6","4 out of 5 stars","-"
"97",9,"Charlie Woerner",SF,"9","4 out of 5 stars","-"
"98",9,"Mitchell Wilcox",CIN,"10","2 out of 5 stars","-"
"99",9,"Jeremy Sprinkle",DAL,"9","3 out of 5 stars","-"
"100",9,"Josh Oliver",BAL,"10","2 out of 5 stars","-"
"101",9,"Miller Forristall",CLE,"9","4 out of 5 stars","-"
"102",9,"Dominique Dafney",GB,"14","1 out of 5 stars","-"
"103",9,"Dalton Keene",NE,"10","4 out of 5 stars","-"
"104",9,"Stephen Anderson",ARI,"13","3 out of 5 stars","-"
"105",9,"Parker Hesse",ATL,"14","2 out of 5 stars","-"
"106",9,"Tyree Jackson",PHI,"7","2 out of 5 stars","-"
"107",9,"Devin Asiasi",NE,"10","4 out of 5 stars","-"
"108",9,"Colby Parkinson",SEA,"11","2 out of 5 stars","-"
"109",9,"Ko Kieft",TB,"11","3 out of 5 stars","-"
"110",9,"John FitzPatrick",ATL,"14","2 out of 5 stars","-"
"111",9,"Derrick Deese Jr.",DET,"6","4 out of 5 stars","-"
"112",9,"Sean McKeon",DAL,"9","3 out of 5 stars","-"
"113",9,"Andrew Ogletree",IND,"14","2 out of 5 stars","-"
"114",9,"Tommy Sweeney",BUF,"7","3 out of 5 stars","-"
"115",9,"Luke Farrell",JAC,"11","4 out of 5 stars","-"
"116",9,"Connor Heyward",PIT,"9","4 out of 5 stars","-"
"117",9,"Trevon Wesco",NYJ,"10","3 out of 5 stars","-"
"118",9,"Jack Stoll",PHI,"7","2 out of 5 stars","-"
"119",9,"Kenny Yeboah",NYJ,"10","3 out of 5 stars","-"
"120",9,"J.P. Holtz",NO,"14","4 out of 5 stars","-"
"121",9,"Zach Davidson",MIN,"7","3 out of 5 stars","-"
"122",9,"Eric Tomlinson",DEN,"9","3 out of 5 stars","-"
"123",9,"Garrett Griffin",DET,"6","4 out of 5 stars","-"
"124",10,"Kevin Rader",PIT,"9","4 out of 5 stars","-"
"125",10,"Chris Myarick",NYG,"9","4 out of 5 stars","-"
"126",10,"Tanner Hudson",SF,"9","4 out of 5 stars","-"
"127",10,"Eric Saubert",DEN,"9","3 out of 5 stars","-"
"128",10,"Sammis Reyes",WAS,"14","4 out of 5 stars","-"
"129",10,"Tommy Hudson",TEN,"6","5 out of 5 stars","-"
"130",10,"Stephen Sullivan",CAR,"13","3 out of 5 stars","-"
"131",10,"Richard Rodgers",PHI,"7","2 out of 5 stars","-"
"132",10,"Michael Jacobson",IND,"14","2 out of 5 stars","-"
"133",10,"Andrew Beck",DEN,"9","3 out of 5 stars","-"
"134",10,"Chase Allen",CHI,"14","5 out of 5 stars","-"
"135",10,"Jordan Franks",KC,"8","3 out of 5 stars","-"
"136",10,"Nolan Givan",DET,"6","4 out of 5 stars","-"
"137",10,"Lucas Krull",NO,"14","4 out of 5 stars","-"
"138",10,"Ben Beise",TB,"11","3 out of 5 stars","-"
"139",10,"Nick Bowers",LV,"6","2 out of 5 stars","-"
"140",10,"Mark Vital Jr.",FA,"-","-","-"
"141",11,"Thaddeus Moss",CIN,"10","2 out of 5 stars","-"
"142",11,"Armani Rogers",WAS,"14","4 out of 5 stars","-"
"143",11,"Eli Wolf",FA,"-","-","-"
"144",11,"Chris Pierce Jr.",ARI,"13","3 out of 5 stars","-"
"145",11,"Tyler Mabry",SEA,"11","2 out of 5 stars","-"
"146",11,"Jared Pinkney",LAR,"7","3 out of 5 stars","-"
"147",11,"David Wells",FA,"-","-","-"
"148",11,"Mason Schreck",HOU,"6","3 out of 5 stars","-"
