"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Cooper Kupp","LAR","WR1","4.1","23.9","0.1","121.9","1,595.7","12.4","0.6","357.8"
"Christian McCaffrey","CAR","RB1","238.3","1,057.8","7.5","88.5","753.8","4.0","1.4","336.2"
"Jonathan Taylor","IND","RB2","327.8","1,610.1","14.9","42.3","352.6","2.0","2.3","335.4"
"Austin Ekeler","LAC","RB3","220.7","982.4","9.4","74.5","664.8","5.3","1.5","325.0"
"Justin Jefferson","MIN","WR2","3.1","16.0","0.0","103.3","1,499.2","9.5","0.6","311.2"
"Ja'Marr Chase","CIN","WR3","8.5","49.9","0.2","91.4","1,414.1","10.5","0.6","300.4"
"Derrick Henry","TEN","RB4","374.9","1,681.8","13.1","27.5","216.6","0.9","2.4","296.6"
"Davante Adams","LV","WR4","0.0","0.0","0.0","107.2","1,328.3","9.2","0.5","294.6"
"Travis Kelce","KC","TE1","0.0","0.0","0.0","101.8","1,214.1","9.3","0.5","278.2"
"Deebo Samuel","SF","WR5","66.2","375.8","4.7","71.4","1,058.9","6.1","1.1","277.6"
"Stefon Diggs","BUF","WR6","0.2","1.8","0.0","100.1","1,234.4","8.8","0.5","275.3"
"Najee Harris","PIT","RB5","298.9","1,175.4","7.9","60.5","399.1","2.2","1.6","275.0"
"Joe Mixon","CIN","RB6","286.4","1,202.3","9.8","47.6","346.5","2.6","1.6","273.3"
"Mark Andrews","BAL","TE2","0.0","0.0","0.0","95.9","1,194.8","9.0","0.5","268.1"
"Dalvin Cook","MIN","RB7","276.0","1,248.6","9.9","45.0","337.2","1.5","2.6","266.7"
"CeeDee Lamb","DAL","WR7","5.8","43.8","0.1","90.6","1,230.0","7.6","0.5","262.9"
"Tyreek Hill","MIA","WR8","8.8","62.1","0.3","91.9","1,150.3","8.0","0.5","262.2"
"Alvin Kamara","NO","RB8","219.1","894.2","7.6","56.2","499.2","3.9","1.2","261.8"
"Aaron Jones","GB","RB9","192.1","914.2","6.1","61.1","501.1","3.9","1.2","260.2"
"Leonard Fournette","TB","RB10","222.1","935.6","8.9","60.4","412.4","2.2","1.3","258.7"
"Mike Evans","TB","WR9","0.2","1.4","0.0","82.4","1,135.9","10.1","0.5","255.9"
"D'Andre Swift","DET","RB11","215.2","901.3","6.6","65.1","475.9","2.4","1.9","253.3"
"Tee Higgins","CIN","WR10","0.2","0.8","0.0","85.4","1,194.7","7.8","0.5","251.0"
"Keenan Allen","LAC","WR11","0.4","1.8","0.0","100.1","1,089.2","6.9","0.5","249.5"
"Michael Pittman Jr.","IND","WR12","3.7","29.1","0.0","91.1","1,127.0","6.6","0.6","245.5"
"Saquon Barkley","NYG","RB12","236.4","989.3","6.4","55.8","409.9","2.2","1.5","244.0"
"James Conner","ARI","RB13","226.8","921.0","10.2","43.6","354.4","2.3","1.6","243.0"
"Diontae Johnson","PIT","WR13","4.2","31.9","0.1","96.3","1,066.7","6.2","1.0","241.7"
"Brandin Cooks","HOU","WR14","2.6","18.5","0.1","92.8","1,108.7","6.1","0.5","241.6"
"Javonte Williams","DEN","RB14","225.5","998.5","7.6","46.9","353.3","2.8","1.7","241.1"
"DJ Moore","CAR","WR15","5.6","37.7","0.1","87.7","1,153.6","5.6","0.6","240.0"
"A.J. Brown","PHI","WR16","0.8","7.4","0.0","77.6","1,131.6","8.1","0.5","239.1"
"David Montgomery","CHI","RB15","252.3","1,012.0","7.9","46.2","357.3","1.9","1.5","239.0"
"Mike Williams","LAC","WR17","0.0","0.2","0.0","74.1","1,089.3","7.9","0.4","229.6"
"Jaylen Waddle","MIA","WR18","3.3","19.1","0.3","89.5","994.8","6.1","0.6","228.5"
"DK Metcalf","SEA","WR19","0.4","2.2","0.0","79.2","1,068.9","6.8","0.6","225.9"
"Nick Chubb","CLE","RB16","246.4","1,224.0","8.5","25.9","216.2","1.1","1.6","224.5"
"Amon-Ra St. Brown","DET","WR20","6.6","46.6","0.4","86.6","940.1","5.9","0.5","222.0"
"Ezekiel Elliott","DAL","RB17","227.6","958.4","8.1","41.0","279.4","2.0","1.8","222.0"
"Antonio Gibson","WAS","RB18","242.8","1,012.9","7.9","37.7","272.7","2.1","2.4","221.6"
"Terry McLaurin","WAS","WR21","0.4","4.6","0.0","77.8","1,063.7","5.9","0.4","219.0"
"Cam Akers","LAR","RB19","246.8","1,066.1","7.3","35.9","288.1","1.6","3.3","218.4"
"Josh Jacobs","LV","RB20","233.8","976.4","8.5","38.7","268.3","0.9","1.9","215.7"
"Michael Thomas","NO","WR22","0.2","-0.8","0.0","82.5","960.1","6.3","0.5","215.1"
"Jerry Jeudy","DEN","WR23","1.2","5.5","0.0","76.4","1,042.3","5.8","0.6","215.0"
"Chris Godwin","TB","WR24","2.2","12.0","0.3","81.0","938.7","6.4","0.9","214.3"
