"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","607.6","390.0","4,406.7","34.6","13.9","116.4","661.9","6.9","3.5","401.2"
"Patrick Mahomes II","KC","634.2","417.9","4,843.1","35.8","11.6","65.9","359.9","2.8","2.8","372.3"
"Justin Herbert","LAC","625.3","415.3","4,680.8","33.9","13.3","65.1","299.4","3.2","1.4","355.9"
"Lamar Jackson","BAL","520.6","336.5","3,733.3","24.5","13.0","159.0","959.0","4.9","3.5","352.7"
"Kyler Murray","ARI","570.2","383.6","4,251.9","27.3","12.3","107.4","552.5","5.5","2.3","350.6"
"Jalen Hurts","PHI","495.6","307.5","3,648.7","24.4","12.8","142.1","761.7","7.9","2.9","348.1"
"Dak Prescott","DAL","599.2","403.8","4,605.6","33.6","11.7","54.7","227.4","2.9","4.1","338.7"
"Tom Brady","TB","652.3","433.5","4,839.1","36.3","11.9","27.9","45.7","1.7","2.4","336.8"
"Joe Burrow","CIN","570.8","387.0","4,577.2","31.3","12.8","46.3","187.2","2.2","1.8","323.7"
"Aaron Rodgers","GB","560.2","378.0","4,291.6","33.0","7.2","38.3","135.0","1.8","1.6","317.7"
"Matthew Stafford","LAR","586.6","392.1","4,583.3","33.6","14.1","33.3","99.3","1.2","2.4","315.8"
"Trey Lance","SF","470.5","295.8","3,570.4","23.6","12.7","116.6","608.3","5.0","1.9","311.3"
"Russell Wilson","DEN","544.2","358.8","4,134.9","29.1","9.6","62.1","276.6","2.1","2.3","307.9"
"Kirk Cousins","MIN","574.3","379.3","4,349.4","31.2","11.4","29.0","107.1","1.0","2.9","298.5"
"Derek Carr","LV","596.9","399.6","4,498.8","28.8","12.7","38.5","130.1","1.2","3.6","295.3"
"Tua Tagovailoa","MIA","574.0","378.6","4,024.7","25.7","13.4","54.9","205.0","2.8","2.4","283.0"
"Ryan Tannehill","TEN","516.8","340.5","3,764.8","24.2","13.2","55.0","255.2","3.8","2.6","277.6"
"Trevor Lawrence","JAC","579.5","365.8","3,897.7","22.1","14.1","72.2","334.7","2.4","3.0","272.3"
"Justin Fields","CHI","505.2","312.0","3,466.2","18.6","14.8","107.3","593.3","3.7","5.0","269.6"
"Daniel Jones","NYG","543.5","341.3","3,660.3","20.9","12.5","82.2","428.6","2.7","4.7","267.1"
"Mac Jones","NE","543.6","359.1","3,961.6","25.2","13.9","41.8","156.9","0.9","2.8","260.8"
"Matt Ryan","IND","536.3","350.9","3,919.3","25.6","11.4","34.5","121.3","1.4","3.6","260.6"
"Jameis Winston","NO","482.8","302.6","3,481.6","24.3","12.6","54.4","276.0","1.7","2.8","256.3"
"Zach Wilson","NYJ","557.7","338.9","3,672.5","22.0","14.1","43.9","232.4","2.5","1.8","255.2"
"Carson Wentz","WAS","538.4","343.3","3,693.8","22.4","11.6","55.9","235.1","1.8","3.6","253.1"
"Jared Goff","DET","565.2","371.1","3,905.5","24.4","12.5","32.1","81.7","1.0","3.8","248.2"
"Davis Mills","HOU","538.3","351.6","3,792.1","20.7","14.2","33.6","109.0","0.8","1.9","232.2"
"Baker Mayfield","CAR","510.6","320.3","3,424.9","19.4","12.9","42.5","155.7","1.4","2.4","220.6"
"Marcus Mariota","ATL","419.8","264.1","2,903.0","15.7","11.3","55.2","330.4","2.5","1.2","213.1"
"Deshaun Watson","CLE","324.4","218.0","2,337.5","15.2","6.8","61.8","295.8","2.9","1.7","190.9"
