"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Cooper Kupp","LAR","WR1","4.2","24.2","0.1","120.6","1,553.4","12.0","0.8","349.0"
"Jonathan Taylor","IND","RB1","330.7","1,682.3","15.1","42.6","355.8","2.0","2.7","343.1"
"Austin Ekeler","LAC","RB2","223.3","997.5","9.8","75.2","656.4","5.4","2.3","327.0"
"Christian McCaffrey","CAR","RB3","236.8","1,058.1","7.5","85.9","709.1","3.7","2.1","325.2"
"Justin Jefferson","MIN","WR2","3.3","16.7","0.1","101.1","1,485.4","9.0","0.8","303.7"
"Derrick Henry","TEN","RB4","379.0","1,745.9","12.5","26.6","204.8","0.8","3.1","295.5"
"Ja'Marr Chase","CIN","WR3","8.4","44.8","0.2","89.0","1,359.4","9.8","0.9","287.3"
"Davante Adams","LV","WR4","0.0","0.0","0.0","104.8","1,298.5","8.6","0.7","284.6"
"Najee Harris","PIT","RB5","297.2","1,188.2","8.3","63.8","416.2","2.5","2.4","284.0"
"Stefon Diggs","BUF","WR5","0.3","2.5","0.0","101.3","1,246.1","9.2","0.8","279.6"
"Dalvin Cook","MIN","RB6","281.8","1,278.5","9.8","48.6","363.5","1.5","2.7","275.5"
"Travis Kelce","KC","TE1","0.0","0.0","0.0","101.3","1,203.9","9.0","0.8","274.3"
"Deebo Samuel","SF","WR6","59.0","344.0","4.6","71.0","1,061.6","5.5","1.6","269.4"
"CeeDee Lamb","DAL","WR7","6.7","51.8","0.1","91.8","1,225.8","7.9","0.7","266.1"
"Joe Mixon","CIN","RB7","287.9","1,195.3","9.9","44.6","306.6","2.4","2.0","265.0"
"Alvin Kamara","NO","RB8","197.4","840.4","6.7","59.7","539.5","4.5","1.8","261.1"
"Mike Evans","TB","WR8","0.3","1.8","0.0","82.8","1,152.4","10.7","0.7","261.0"
"Leonard Fournette","TB","RB9","223.8","940.4","8.9","62.5","415.6","2.1","1.9","260.7"
"Tyreek Hill","MIA","WR9","8.4","60.1","0.4","92.1","1,143.5","7.6","0.8","259.0"
"Mark Andrews","BAL","TE2","0.0","0.0","0.0","92.2","1,142.0","8.8","0.8","257.7"
"D'Andre Swift","DET","RB10","215.7","917.2","6.9","64.7","475.1","2.6","2.2","256.6"
"Aaron Jones","GB","RB11","190.4","898.7","6.3","60.0","476.5","3.8","1.5","255.3"
"Keenan Allen","LAC","WR10","0.3","0.5","0.0","102.2","1,102.2","6.8","0.8","251.7"
"DJ Moore","CAR","WR11","4.6","29.6","0.1","87.4","1,180.4","5.6","0.8","240.8"
"James Conner","ARI","RB12","228.7","930.6","10.6","42.1","331.7","2.1","2.1","240.4"
"Tee Higgins","CIN","WR12","0.3","1.0","0.0","83.1","1,134.5","7.4","0.8","239.7"
"Saquon Barkley","NYG","RB13","233.7","968.4","6.1","56.1","398.3","2.4","2.0","239.7"
"Michael Pittman Jr.","IND","WR13","3.7","28.4","0.0","88.7","1,101.1","6.4","0.8","238.7"
"Diontae Johnson","PIT","WR14","4.3","32.8","0.1","94.8","1,065.4","6.0","1.4","238.6"
"David Montgomery","CHI","RB14","257.6","1,033.9","7.7","45.9","343.9","1.8","1.9","236.7"
"Javonte Williams","DEN","RB15","227.5","1,021.4","6.9","46.4","338.8","2.8","2.0","236.5"
"Nick Chubb","CLE","RB16","249.2","1,276.8","8.9","26.9","219.6","1.1","2.0","232.9"
"A.J. Brown","PHI","WR15","0.5","5.5","0.0","77.7","1,102.7","7.5","0.7","232.0"
"Brandin Cooks","HOU","WR16","2.8","19.5","0.1","91.0","1,069.1","5.4","0.7","231.2"
"Jaylen Waddle","MIA","WR17","3.6","20.1","0.4","91.6","989.2","6.1","0.9","229.7"
"DK Metcalf","SEA","WR18","0.3","1.5","0.0","80.0","1,085.7","6.9","0.8","228.7"
"Terry McLaurin","WAS","WR19","0.3","3.3","0.0","80.2","1,081.3","6.0","0.7","223.4"
"Cam Akers","LAR","RB17","254.2","1,105.8","7.3","36.9","292.9","1.6","3.4","223.3"
