"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","607.7","389.0","4,334.3","34.9","14.5","120.0","670.1","6.9","3.8","399.1"
"Patrick Mahomes II","KC","632.1","416.6","4,683.4","36.0","11.6","66.5","355.2","2.8","3.6","364.9"
"Justin Herbert","LAC","626.1","415.6","4,608.0","34.0","13.1","64.6","299.1","3.2","1.9","352.5"
"Lamar Jackson","BAL","519.6","335.6","3,685.6","24.9","13.8","159.4","936.8","4.4","4.3","344.6"
"Jalen Hurts","PHI","496.1","305.9","3,552.3","24.6","12.9","140.3","741.3","7.9","3.4","342.6"
"Kyler Murray","ARI","566.6","381.2","4,148.5","26.5","12.3","108.7","535.9","5.7","3.0","341.4"
"Tom Brady","TB","652.7","432.3","4,697.5","37.1","12.0","27.5","53.8","1.8","3.2","334.2"
"Dak Prescott","DAL","598.8","402.6","4,489.8","34.0","11.2","56.1","223.6","2.6","5.5","331.4"
"Aaron Rodgers","GB","562.6","378.1","4,217.4","33.3","6.7","38.1","144.5","1.9","2.1","317.1"
"Matthew Stafford","LAR","588.8","394.0","4,559.5","34.1","14.6","33.7","87.0","1.2","2.7","314.9"
"Joe Burrow","CIN","567.3","383.8","4,417.2","30.2","12.1","45.9","183.9","2.3","2.3","313.1"
"Russell Wilson","DEN","551.7","363.4","4,192.4","29.7","9.6","61.5","293.9","2.2","3.1","312.8"
"Trey Lance","SF","476.5","296.6","3,561.8","23.7","13.3","112.9","513.6","4.5","2.0","298.4"
"Kirk Cousins","MIN","577.4","380.1","4,284.1","31.3","11.3","28.7","106.9","1.0","3.9","294.3"
"Derek Carr","LV","598.3","401.2","4,492.6","27.6","12.7","39.1","136.8","1.2","4.9","288.4"
"Tua Tagovailoa","MIA","575.1","378.5","3,978.7","25.2","14.4","55.6","198.3","2.8","2.7","277.0"
"Ryan Tannehill","TEN","517.2","341.4","3,690.7","24.1","13.6","56.9","272.0","4.0","3.5","274.9"
"Trevor Lawrence","JAC","577.8","364.4","3,922.6","22.7","14.0","72.8","331.2","2.1","4.1","271.3"
"Justin Fields","CHI","506.5","310.5","3,512.3","18.9","16.0","109.1","580.8","3.6","6.7","266.4"
"Daniel Jones","NYG","544.0","344.2","3,634.0","20.9","14.9","85.0","435.3","2.8","6.1","262.0"
"Matt Ryan","IND","534.0","349.8","3,833.8","25.3","11.3","34.5","111.3","1.4","4.5","253.6"
"Zach Wilson","NYJ","558.4","337.6","3,671.4","21.7","14.4","41.7","227.1","2.5","2.3","252.2"
"Carson Wentz","WAS","538.7","342.5","3,653.7","22.4","11.5","57.1","226.0","1.8","4.7","247.9"
"Mac Jones","NE","536.2","353.5","3,825.0","24.1","14.5","37.1","127.4","0.5","2.8","245.0"
"Jameis Winston","NO","465.1","291.4","3,327.8","23.0","11.7","57.0","257.5","1.6","3.5","241.7"
"Jared Goff","DET","561.8","366.8","3,805.5","23.8","12.4","31.9","96.5","1.1","5.1","241.0"
"Davis Mills","HOU","532.0","345.9","3,677.8","19.8","14.3","33.8","120.7","0.9","2.2","224.9"
"Baker Mayfield","CAR","502.5","312.0","3,436.7","18.4","13.9","41.4","145.2","1.2","3.4","212.3"
"Marcus Mariota","ATL","423.4","267.2","2,949.0","15.7","11.9","55.8","300.9","2.1","1.1","209.4"
"Deshaun Watson","CLE","301.9","201.7","2,364.2","15.4","6.7","57.4","298.7","3.0","2.1","193.1"
"Mitchell Trubisky","PIT","331.7","214.7","2,142.9","12.7","8.1","32.4","128.4","1.2","1.5","145.8"
"Drew Lock","SEA","272.4","170.1","1,900.1","10.5","7.0","24.3","106.2","1.2","1.9","125.1"
"Kenny Pickett","PIT","293.1","181.1","1,930.7","11.1","8.2","26.2","94.9","0.8","1.8","124.2"
"Geno Smith","SEA","269.4","171.3","1,887.3","10.6","7.0","22.2","89.6","0.7","2.2","119.7"
"Jacoby Brissett","CLE","225.6","141.7","1,533.4","9.3","5.3","22.9","89.2","0.9","2.1","103.5"
"Desmond Ridder","ATL","172.3","105.5","1,190.4","6.4","4.7","22.7","101.5","0.7","1.1","80.9"
"Sam Darnold","CAR","84.7","51.1","554.8","3.5","2.8","5.1","25.1","0.4","0.4","37.5"
"Andy Dalton","NO","66.0","41.6","461.2","3.2","1.8","4.5","15.3","0.0","0.2","31.0"
